"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"96","2024-05-30"," 09:16:00","2024-05-30"," 09:28:00","","","","","","","23.79","-150.00"
"96.1","2024-05-30"," 09:20:00","2024-05-30"," 09:28:00","CE","75700","Buy","10","65.70","45.70","","-200.00"
"96.2","2024-05-30"," 09:26:00","2024-05-30"," 09:28:00","PE","73100","Buy","10","59.55","64.55","","50.00"
"97","2024-05-31"," 09:16:00","2024-05-31"," 15:15:00","","","","","","","23.68","-200.00"
"97.1","2024-05-31"," 09:22:00","2024-05-31"," 09:54:00","CE","75100","Buy","10","56.25","36.25","","-200.00"
"98","2024-06-03"," 09:16:00","2024-06-03"," 15:15:00","","","","","","","20.41","-200.00"
"98.1","2024-06-03"," 09:23:00","2024-06-03"," 09:30:00","CE","81000","Buy","10","101.60","81.60","","-200.00"
"99","2024-06-04"," 09:16:00","2024-06-04"," 15:15:00","","","","","","","19.23","-943.00"
"99.1","2024-06-04"," 09:18:00","2024-06-04"," 09:19:00","PE","73500","Buy","10","337.80","243.50","","-943.00"
"100","2024-06-05"," 09:16:00","2024-06-05"," 15:15:00","","","","","","","25.05","-200.00"
"100.1","2024-06-05"," 09:17:00","2024-06-05"," 09:22:00","CE","78000","Buy","10","43.75","23.75","","-200.00"
"101","2024-06-06"," 09:16:00","2024-06-06"," 15:15:00","","","","","","","17.29","-200.00"
"101.1","2024-06-06"," 09:17:00","2024-06-06"," 09:26:00","CE","77200","Buy","10","62.50","42.50","","-200.00"
"102","2024-06-07"," 09:16:00","2024-06-07"," 15:15:00","","","","","","","16.89","750.00"
"102.1","2024-06-07"," 09:21:00","2024-06-07"," 09:23:00","CE","75900","Buy","10","64.95","139.95","","750.00"
"103","2024-06-10"," 09:16:00","2024-06-10"," 15:15:00","","","","","","","16.87","-311.50"
"103.1","2024-06-10"," 09:17:00","2024-06-10"," 09:18:00","CE","79000","Buy","10","249.60","218.45","","-311.50"
"104","2024-06-12"," 09:16:00","2024-06-12"," 15:15:00","","","","","","","14.68","-200.00"
"104.1","2024-06-12"," 10:04:00","2024-06-12"," 11:31:00","CE","78200","Buy","10","67.00","47.00","","-200.00"
"105","2024-06-13"," 09:16:00","2024-06-13"," 15:15:00","","","","","","","13.93","-200.00"
"105.1","2024-06-13"," 09:48:00","2024-06-13"," 10:01:00","PE","75700","Buy","10","58.95","38.95","","-200.00"
"106","2024-06-14"," 09:16:00","2024-06-14"," 15:15:00","","","","","","","13.37","750.00"
"106.1","2024-06-14"," 09:21:00","2024-06-14"," 09:24:00","PE","76400","Buy","10","66.95","141.95","","750.00"
"107","2024-06-18"," 09:16:00","2024-06-18"," 15:15:00","","","","","","","13.39","-200.00"
"107.1","2024-06-18"," 09:46:00","2024-06-18"," 10:20:00","CE","78500","Buy","10","68.25","48.25","","-200.00"
"108","2024-06-19"," 09:16:00","2024-06-19"," 13:10:00","","","","","","","12.87","-287.50"
"108.1","2024-06-19"," 11:48:00","2024-06-19"," 13:10:00","CE","78500","Buy","10","59.05","39.05","","-200.00"
"108.2","2024-06-19"," 10:15:00","2024-06-19"," 13:10:00","PE","76100","Buy","10","59.25","50.50","","-87.50"
"109","2024-06-20"," 09:16:00","2024-06-20"," 15:15:00","","","","","","","13.70","-200.00"
"109.1","2024-06-20"," 09:21:00","2024-06-20"," 09:34:00","PE","76300","Buy","10","68.40","48.40","","-200.00"
"110","2024-06-21"," 09:16:00","2024-06-21"," 15:15:00","","","","","","","13.37","-200.00"
"110.1","2024-06-21"," 09:44:00","2024-06-21"," 09:49:00","PE","76800","Buy","10","66.75","46.75","","-200.00"
"111","2024-06-25"," 09:16:00","2024-06-25"," 15:15:00","","","","","","","14.05","395.50"
"111.1","2024-06-25"," 12:33:00","2024-06-25"," 15:15:00","CE","78900","Buy","10","59.40","98.95","","395.50"
