,Index,Entry Date,Entry Time,Exit Date,Exit Time,Type,Strike,B/S,Qty,Entry Price,Exit Price,Vix,P/L,Open,High,Low,Close,Prev. Close,Change,% Change
161,72.1,2024-05-09,9:26:00,2024-05-09,15:15:00,PE,72500.0,Buy,10.0,70.5,291.85,,2213.5,17.08,19.1725,17.08,18.2,17.08,1.12,6.56
162,73.0,2024-05-10,9:16:00,2024-05-10,15:15:00,,,,,,,18.2,-683.5,18.2,19.0075,17.995,18.4725,18.2,0.27,1.5
163,73.1,2024-05-10,9:56:00,2024-05-10,15:15:00,CE,73300.0,Buy,10.0,68.55,0.2,,-683.5,18.2,19.0075,17.995,18.4725,18.2,0.27,1.5
164,74.0,2024-05-13,9:16:00,2024-05-13,15:15:00,,,,,,,20.24,-231.5,18.4725,21.485,18.4725,20.6,18.4725,2.13,11.52
165,74.1,2024-05-13,9:17:00,2024-05-13,15:15:00,PE,70800.0,Buy,10.0,82.5,59.35,,-231.5,18.4725,21.485,18.4725,20.6,18.4725,2.13,11.52
166,75.0,2024-05-15,9:16:00,2024-05-15,15:15:00,,,,,,,20.37,-427.5,20.195,20.6575,19.87,20.2725,20.195,0.08,0.38
167,75.1,2024-05-15,10:09:00,2024-05-15,15:15:00,PE,71600.0,Buy,10.0,73.8,31.05,,-427.5,20.195,20.6575,19.87,20.2725,20.195,0.08,0.38
175,79.0,2024-05-24,9:16:00,2024-05-24,15:15:00,,,,,,,21.24,-732.5,21.38,21.8975,20.59,21.71,21.38,0.33,1.54
176,79.1,2024-05-24,9:19:00,2024-05-24,15:15:00,CE,76000.0,Buy,10.0,73.55,0.3,,-732.5,21.38,21.8975,20.59,21.71,21.38,0.33,1.54
177,80.0,2024-05-27,9:16:00,2024-05-27,15:15:00,,,,,,,22.12,-364.5,21.71,26.195,18.435,23.1925,21.71,1.48,6.83
178,80.1,2024-05-27,11:57:00,2024-05-27,15:15:00,CE,77500.0,Buy,10.0,82.5,46.05,,-364.5,21.71,26.195,18.435,23.1925,21.71,1.48,6.83
183,83.0,2024-05-31,9:16:00,2024-05-31,15:15:00,,,,,,,23.68,-673.0,24.175,24.81,22.5975,24.6025,24.175,0.43,1.77
184,83.1,2024-05-31,9:23:00,2024-05-31,15:15:00,CE,75100.0,Buy,10.0,67.5,0.2,,-673.0,24.175,24.81,22.5975,24.6025,24.175,0.43,1.77
187,85.0,2024-06-04,9:16:00,2024-06-04,15:15:00,,,,,,,19.23,3500.0,20.9375,31.71,18.8025,26.7475,20.9375,5.81,27.75
188,85.1,2024-06-04,9:21:00,2024-06-04,9:23:00,PE,73500.0,Buy,10.0,405.4,755.4,,3500.0,20.9375,31.71,18.8025,26.7475,20.9375,5.81,27.75
192,87.0,2024-06-07,9:16:00,2024-06-07,15:15:00,,,,,,,16.89,3500.0,16.8,17.145,16.3725,16.8825,16.8,0.08,0.49
193,87.1,2024-06-07,9:21:00,2024-06-07,11:36:00,CE,75900.0,Buy,10.0,77.95,427.95,,3500.0,16.8,17.145,16.3725,16.8825,16.8,0.08,0.49
196,89.0,2024-06-19,9:16:00,2024-06-19,15:15:00,,,,,,,12.87,-446.0,12.965,13.815,11.63,13.7125,12.965,0.75,5.77
197,89.1,2024-06-19,14:33:00,2024-06-19,15:15:00,CE,78500.0,Buy,10.0,70.9,43.95,,-269.5,12.965,13.815,11.63,13.7125,12.965,0.75,5.77
198,89.2,2024-06-19,10:16:00,2024-06-19,15:15:00,PE,76100.0,Buy,10.0,71.1,53.45,,-176.5,12.965,13.815,11.63,13.7125,12.965,0.75,5.77
205,92.0,2024-06-25,9:16:00,2024-06-25,15:15:00,,,,,,,14.05,269.5,14.0575,14.455,13.8425,14.3125,14.0575,0.26,1.81
206,92.1,2024-06-25,12:43:00,2024-06-25,15:15:00,CE,78900.0,Buy,10.0,72.0,98.95,,269.5,14.0575,14.455,13.8425,14.3125,14.0575,0.26,1.81
