open,high,low,close,adj close,volume,year,month,hour,day,day_name,candle_body,high_shadow,low_shadow,trend
72993.953125,72993.953125,72668.703125,72874.421875,72874.421875,298532864,2024,3,11,14,Thursday,119.53125,0.0,-205.71875,UP
72882.484375,73058.9140625,72640.0546875,72845.796875,72845.796875,0,2024,3,12,14,Thursday,36.6875,176.4296875,-205.7421875,UP
72866.421875,72939.625,71552.5078125,71981.84375,71981.84375,457191424,2024,3,13,14,Thursday,884.578125,73.203125,-429.3359375,UP
71958.5625,72394.1328125,71411.140625,71473.9609375,71473.9609375,0,2024,3,14,14,Thursday,484.6015625,435.5703125,-62.8203125,UP
71636.2734375,71941.7890625,70634.4609375,70883.7578125,70883.7578125,1372897280,2024,3,15,14,Thursday,752.515625,305.515625,-249.296875,UP
70835.78125,71268.4609375,70198.5703125,71265.7421875,71265.7421875,2707578880,2024,3,16,14,Thursday,-429.9609375,432.6796875,-1067.171875,DOWN
71384.6484375,71384.6484375,70727.484375,71071.0078125,71071.0078125,440963072,2024,3,17,14,Thursday,313.640625,0.0,-343.5234375,UP
71011.1171875,71011.1171875,69724.59375,69724.59375,69724.59375,1572487168,2024,3,18,14,Thursday,1286.5234375,0.0,0.0,UP
69926.6875,70237.6484375,68694.25,69209.3203125,69209.3203125,4511780864,2024,3,19,14,Thursday,717.3671875,310.9609375,-515.0703125,UP
69559.625,71066.703125,69559.625,70689.7421875,70689.7421875,2639515648,2024,3,20,14,Thursday,-1130.1171875,1507.078125,-1130.1171875,DOWN
70748.0078125,70924.2265625,70310.671875,70911.125,70911.125,215969792,2024,3,21,14,Thursday,-163.1171875,176.21875,-600.453125,DOWN
71280.609375,71605.046875,71160.296875,71482.796875,71482.796875,1081278464,2024,3,22,14,Thursday,-202.1875,324.4375,-322.5,DOWN
71449.6796875,71668.6484375,71385.65625,71426.140625,71426.140625,243068928,2024,3,23,14,Thursday,23.5390625,218.96875,-40.484375,UP
71364.5546875,72339.546875,71348.0078125,71920.2890625,71920.2890625,1100107776,2024,3,0,15,Friday,-555.734375,974.9921875,-572.28125,DOWN
71884.15625,71973.5,71568.6484375,71596.5859375,71596.5859375,68501504,2024,3,1,15,Friday,287.5703125,89.34375,-27.9375,UP
71582.34375,71679.6640625,68259.4609375,68883.8125,68883.8125,3118026752,2024,3,2,15,Friday,2698.53125,97.3203125,-624.3515625,UP
69008.4375,69372.3359375,67061.421875,68007.3671875,68007.3671875,6291333120,2024,3,3,15,Friday,1001.0703125,363.8984375,-945.9453125,UP
68195.0703125,68448.2890625,67152.8515625,67360.7109375,67360.7109375,0,2024,3,4,15,Friday,834.359375,253.21875,-207.859375,UP
67715.078125,68084.6953125,67118.46875,67515.6640625,67515.6640625,4334313472,2024,3,5,15,Friday,199.4140625,369.6171875,-397.1953125,UP
67384.59375,68521.96875,67384.59375,68403.9921875,68403.9921875,1387020288,2024,3,6,15,Friday,-1019.3984375,1137.375,-1019.3984375,DOWN
68598.8046875,68707.03125,68142.2265625,68532.8203125,68532.8203125,558702592,2024,3,7,15,Friday,65.984375,108.2265625,-390.59375,UP
68403.1484375,68524.59375,67083.515625,67223.84375,67223.84375,1664606208,2024,3,8,15,Friday,1179.3046875,121.4453125,-140.328125,UP
67153.171875,67920.65625,66178.2890625,67686.1953125,67686.1953125,4845027328,2024,3,9,15,Friday,-533.0234375,767.484375,-1507.90625,DOWN
67839.65625,67922.9765625,67325.8671875,67355.96875,67355.96875,1317232640,2024,3,10,15,Friday,483.6875,83.3203125,-30.1015625,UP
67262.65625,67783.6171875,66805.359375,67783.6171875,67783.6171875,1454383104,2024,3,11,15,Friday,-520.9609375,520.9609375,-978.2578125,DOWN
67606.7890625,67903.515625,67468.3671875,67887.7265625,67887.7265625,411656192,2024,3,12,15,Friday,-280.9375,296.7265625,-419.359375,DOWN
67876.8515625,68583.1875,67558.9140625,68317.484375,68317.484375,0,2024,3,13,15,Friday,-440.6328125,706.3359375,-758.5703125,DOWN
68488.8046875,68488.8046875,67898.2578125,68465.0,68465.0,0,2024,3,14,15,Friday,23.8046875,0.0,-566.7421875,UP
68475.171875,68592.5,68140.28125,68181.546875,68181.546875,0,2024,3,15,15,Friday,293.625,117.328125,-41.265625,UP
68167.4296875,68345.75,67630.75,67934.15625,67934.15625,0,2024,3,16,15,Friday,233.2734375,178.3203125,-303.40625,UP
67971.0625,68304.265625,67753.6484375,68235.140625,68235.140625,0,2024,3,17,15,Friday,-264.078125,333.203125,-481.4921875,DOWN
68246.53125,70307.5390625,68246.53125,70252.0546875,70252.0546875,528162816,2024,3,18,15,Friday,-2005.5234375,2061.0078125,-2005.5234375,DOWN
70477.6484375,70501.703125,68655.9921875,68679.7265625,68679.7265625,0,2024,3,19,15,Friday,1797.921875,24.0546875,-23.734375,UP
68888.8125,68888.8125,67667.7265625,67839.65625,67839.65625,0,2024,3,20,15,Friday,1049.15625,0.0,-171.9296875,UP
67918.5859375,68253.4296875,67918.5859375,68253.4296875,68253.4296875,0,2024,3,21,15,Friday,-334.84375,334.84375,-334.84375,DOWN
68264.6171875,69140.40625,68236.6640625,69113.234375,69113.234375,0,2024,3,22,15,Friday,-848.6171875,875.7890625,-876.5703125,DOWN
68992.828125,69695.1015625,68843.3671875,69522.7265625,69522.7265625,798818304,2024,3,23,15,Friday,-529.8984375,702.2734375,-679.359375,DOWN
69498.3203125,70011.1875,69498.3203125,69728.1171875,69728.1171875,0,2024,3,0,16,Saturday,-229.796875,512.8671875,-229.796875,DOWN
69617.7890625,69813.71875,69097.921875,69238.5703125,69238.5703125,167583744,2024,3,1,16,Saturday,379.21875,195.9296875,-140.6484375,UP
69264.0,69275.9296875,69019.796875,69155.640625,69155.640625,0,2024,3,2,16,Saturday,108.359375,11.9296875,-135.84375,UP
