Index,Entry Date,Entry Time,Exit Date,Exit Time,Type,Strike,B/S,Qty,Entry Price,Exit Price,Vix,P/L,Open,High,Low,Close,Prev. Close,Change,% Change
35.0,2024-02-14,9:16:00,2024-02-14,15:15:00,,,,,,,15.99,62.0,15.8075,16.1975,15.34,15.435,15.8075,-0.37,-2.36
35.1,2024-02-14,14:33:00,2024-02-14,15:15:00,CE,72700.0,Buy,10.0,69.9,76.1,,62.0,15.8075,16.1975,15.34,15.435,15.8075,-0.37,-2.36
36.0,2024-02-16,9:16:00,2024-02-16,15:15:00,,,,,,,15.26,-1369.0,15.225,15.5525,14.9025,15.2225,15.225,-0.0,-0.02
36.1,2024-02-16,9:30:00,2024-02-16,15:15:00,CE,73000.0,Buy,10.0,67.9,0.2,,-677.0,15.225,15.5525,14.9025,15.2225,15.225,-0.0,-0.02
36.2,2024-02-16,9:21:00,2024-02-16,15:15:00,PE,71600.0,Buy,10.0,69.45,0.25,,-692.0,15.225,15.5525,14.9025,15.2225,15.225,-0.0,-0.02
37.0,2024-02-20,9:16:00,2024-02-20,15:15:00,,,,,,,16.23,31.0,16.0175,16.36,14.2125,16.0725,16.0175,0.06,0.34
37.1,2024-02-20,12:03:00,2024-02-20,15:15:00,CE,74200.0,Buy,10.0,78.9,82.0,,31.0,16.0175,16.36,14.2125,16.0725,16.0175,0.06,0.34
38.0,2024-02-22,9:16:00,2024-02-22,15:15:00,,,,,,,15.76,-406.0,15.9275,16.15,15.1325,15.1975,15.9275,-0.73,-4.58
38.1,2024-02-22,14:51:00,2024-02-22,15:15:00,CE,73600.0,Buy,10.0,64.8,92.5,,277.0,15.9275,16.15,15.1325,15.1975,15.9275,-0.73,-4.58
38.2,2024-02-22,10:01:00,2024-02-22,15:15:00,PE,71400.0,Buy,10.0,75.7,7.4,,-683.0,15.9275,16.15,15.1325,15.1975,15.9275,-0.73,-4.58
39.0,2024-02-23,9:16:00,2024-02-23,15:15:00,,,,,,,15.26,-750.0,15.1975,15.4425,14.84,14.9725,15.1975,-0.22,-1.48
39.1,2024-02-23,9:28:00,2024-02-23,15:04:00,PE,72700.0,Buy,10.0,75.75,0.75,,-750.0,15.1975,15.4425,14.84,14.9725,15.1975,-0.22,-1.48
40.0,2024-02-26,9:16:00,2024-02-26,15:15:00,,,,,,,15.77,-712.0,14.9725,15.96,13.7575,15.6,14.9725,0.63,4.19
40.1,2024-02-26,9:18:00,2024-02-26,15:15:00,CE,74800.0,Buy,10.0,97.05,55.35,,-417.0,14.9725,15.96,13.7575,15.6,14.9725,0.63,4.19
40.2,2024-02-26,11:56:00,2024-02-26,15:15:00,PE,71000.0,Buy,10.0,88.65,59.15,,-295.0,14.9725,15.96,13.7575,15.6,14.9725,0.63,4.19
41.0,2024-02-28,9:16:00,2024-02-28,15:15:00,,,,,,,15.84,471.0,15.7275,16.74,15.31,16.33,15.7275,0.6,3.83
41.1,2024-02-28,11:01:00,2024-02-28,15:15:00,PE,71300.0,Buy,10.0,76.1,123.2,,471.0,15.7275,16.74,15.31,16.33,15.7275,0.6,3.83
42.0,2024-03-01,9:16:00,2024-03-01,15:15:00,,,,,,,15.52,3500.0,15.5725,15.6425,15.0,15.235,15.5725,-0.34,-2.17
42.1,2024-03-01,9:23:00,2024-03-01,11:39:00,CE,73400.0,Buy,10.0,82.2,432.2,,3500.0,15.5725,15.6425,15.0,15.235,15.5725,-0.34,-2.17
43.0,2024-03-06,9:16:00,2024-03-06,15:15:00,,,,,,,14.43,1038.5,14.38,14.71,13.905,14.295,14.38,-0.09,-0.59
43.1,2024-03-06,9:43:00,2024-03-06,15:15:00,CE,74300.0,Buy,10.0,76.35,180.2,,1038.5,14.38,14.71,13.905,14.295,14.38,-0.09,-0.59
44.0,2024-03-11,9:16:00,2024-03-11,15:15:00,,,,,,,14.29,-510.5,13.6125,14.5525,13.6125,13.995,13.6125,0.38,2.81
44.1,2024-03-11,9:17:00,2024-03-11,15:15:00,CE,75300.0,Buy,10.0,94.05,43.0,,-510.5,13.6125,14.5525,13.6125,13.995,13.6125,0.38,2.81
45.0,2024-03-12,9:16:00,2024-03-12,15:15:00,,,,,,,13.99,-265.5,13.995,14.195,13.5775,13.6375,13.995,-0.36,-2.55
45.1,2024-03-12,9:36:00,2024-03-12,15:15:00,CE,75100.0,Buy,10.0,74.85,48.3,,-265.5,13.995,14.195,13.5775,13.6375,13.995,-0.36,-2.55
46.0,2024-03-13,9:16:00,2024-03-13,15:15:00,,,,,,,13.67,1956.0,13.6375,15.005,13.5325,14.4325,13.6375,0.79,5.83
46.1,2024-03-13,9:38:00,2024-03-13,15:15:00,PE,72400.0,Buy,10.0,77.25,272.85,,1956.0,13.6375,15.005,13.5325,14.4325,13.6375,0.79,5.83
47.0,2024-03-14,9:16:00,2024-03-14,15:15:00,,,,,,,14.57,-473.0,14.4325,14.6825,13.5225,13.6225,14.4325,-0.81,-5.61
47.1,2024-03-14,11:36:00,2024-03-14,15:15:00,CE,73900.0,Buy,10.0,74.25,26.95,,-473.0,14.4325,14.6825,13.5225,13.6225,14.4325,-0.81,-5.61
48.0,2024-03-15,9:16:00,2024-03-15,15:15:00,,,,,,,13.79,-1391.5,13.6225,14.3325,13.59,13.69,13.6225,0.07,0.5
48.1,2024-03-15,9:23:00,2024-03-15,15:15:00,CE,73400.0,Buy,10.0,68.5,0.2,,-683.0,13.6225,14.3325,13.59,13.69,13.6225,0.07,0.5
48.2,2024-03-15,9:36:00,2024-03-15,15:15:00,PE,72300.0,Buy,10.0,71.25,0.4,,-708.5,13.6225,14.3325,13.59,13.69,13.6225,0.07,0.5
49.0,2024-03-18,9:16:00,2024-03-18,15:15:00,,,,,,,14.46,-416.5,13.69,14.615,13.69,13.895,13.69,0.21,1.5
49.1,2024-03-18,9:41:00,2024-03-18,15:15:00,PE,70800.0,Buy,10.0,84.05,42.4,,-416.5,13.69,14.615,13.69,13.895,13.69,0.21,1.5
50.0,2024-03-19,9:16:00,2024-03-19,15:15:00,,,,,,,14.01,-187.0,13.895,14.445,13.875,14.1125,13.895,0.22,1.57
50.1,2024-03-19,10:22:00,2024-03-19,15:15:00,PE,70800.0,Buy,10.0,73.65,54.95,,-187.0,13.895,14.445,13.875,14.1125,13.895,0.22,1.57
51.0,2024-03-20,9:16:00,2024-03-20,15:15:00,,,,,,,13.94,-381.0,14.1125,14.2825,13.085,13.4725,14.1125,-0.64,-4.53
51.1,2024-03-20,10:12:00,2024-03-20,15:15:00,PE,70900.0,Buy,10.0,77.5,39.4,,-381.0,14.1125,14.2825,13.085,13.4725,14.1125,-0.64,-4.53
52.0,2024-03-21,9:16:00,2024-03-21,15:15:00,,,,,,,13.15,-621.0,13.4725,13.4725,12.3425,12.5125,13.4725,-0.96,-7.13
52.1,2024-03-21,12:11:00,2024-03-21,15:15:00,PE,71800.0,Buy,10.0,75.4,13.3,,-621.0,13.4725,13.4725,12.3425,12.5125,13.4725,-0.96,-7.13
53.0,2024-03-22,9:16:00,2024-03-22,12:54:00,,,,,,,12.71,-934.5,12.5125,13.0475,11.81,12.22,12.5125,-0.29,-2.34
53.1,2024-03-22,9:37:00,2024-03-22,12:54:00,CE,73000.0,Buy,10.0,69.15,50.7,,-184.5,12.5125,13.0475,11.81,12.22,12.5125,-0.29,-2.34
53.2,2024-03-22,9:26:00,2024-03-22,12:54:00,PE,72000.0,Buy,10.0,79.8,4.8,,-750.0,12.5125,13.0475,11.81,12.22,12.5125,-0.29,-2.34
54.0,2024-03-26,9:16:00,2024-03-26,15:15:00,,,,,,,12.92,-515.5,12.22,13.1025,12.085,12.82,12.22,0.6,4.91
54.1,2024-03-26,9:17:00,2024-03-26,15:15:00,PE,71300.0,Buy,10.0,76.8,25.25,,-515.5,12.22,13.1025,12.085,12.82,12.22,0.6,4.91
55.0,2024-03-27,9:16:00,2024-03-27,15:15:00,,,,,,,12.77,-470.5,12.82,13.01,12.5325,12.7025,12.82,-0.12,-0.92
55.1,2024-03-27,10:10:00,2024-03-27,15:15:00,CE,73600.0,Buy,10.0,72.5,25.45,,-470.5,12.82,13.01,12.5325,12.7025,12.82,-0.12,-0.92
56.0,2024-03-28,9:16:00,2024-03-28,15:15:00,,,,,,,12.76,3500.0,12.7025,13.18,12.26,12.8325,12.7025,0.13,1.02
56.1,2024-03-28,9:21:00,2024-03-28,11:02:00,CE,73500.0,Buy,10.0,80.25,430.25,,3500.0,12.7025,13.18,12.26,12.8325,12.7025,0.13,1.02
57.0,2024-04-03,9:16:00,2024-04-03,15:15:00,,,,,,,11.79,-284.5,11.6525,11.8275,11.3125,11.3725,11.6525,-0.28,-2.4
57.1,2024-04-03,12:18:00,2024-04-03,15:15:00,CE,74800.0,Buy,10.0,79.95,51.5,,-284.5,11.6525,11.8275,11.3125,11.3725,11.6525,-0.28,-2.4
58.0,2024-04-04,9:16:00,2024-04-04,15:15:00,,,,,,,11.18,-310.0,11.3725,11.8375,10.86,11.22,11.3725,-0.15,-1.34
58.1,2024-04-04,9:31:00,2024-04-04,15:15:00,PE,73400.0,Buy,10.0,65.6,34.6,,-310.0,11.3725,11.8375,10.86,11.22,11.3725,-0.15,-1.34
59.0,2024-04-05,9:16:00,2024-04-05,15:15:00,,,,,,,11.43,-727.5,11.22,11.6825,11.035,11.3375,11.22,0.12,1.05
59.1,2024-04-05,9:52:00,2024-04-05,15:15:00,CE,74700.0,Buy,10.0,73.0,0.25,,-727.5,11.22,11.6825,11.035,11.3375,11.22,0.12,1.05
60.0,2024-04-08,9:16:00,2024-04-08,15:15:00,,,,,,,11.49,-301.5,11.3375,11.7425,11.1325,11.61,11.3375,0.27,2.4
60.1,2024-04-08,9:19:00,2024-04-08,15:15:00,PE,72400.0,Buy,10.0,55.2,25.05,,-301.5,11.3375,11.7425,11.1325,11.61,11.3375,0.27,2.4
61.0,2024-04-12,9:16:00,2024-04-12,15:15:00,,,,,,,11.4,3500.0,11.1075,11.605,11.1075,11.5325,11.1075,0.43,3.83
61.1,2024-04-12,9:42:00,2024-04-12,12:17:00,PE,74300.0,Buy,10.0,78.6,428.6,,3500.0,11.1075,11.605,11.1075,11.5325,11.1075,0.43,3.83
62.0,2024-04-15,9:16:00,2024-04-15,15:15:00,,,,,,,12.37,339.0,11.5325,12.7375,11.3075,12.4675,11.5325,0.93,8.11
62.1,2024-04-15,9:17:00,2024-04-15,15:15:00,PE,72300.0,Buy,10.0,101.95,135.85,,339.0,11.5325,12.7375,11.3075,12.4675,11.5325,0.93,8.11
63.0,2024-04-18,9:16:00,2024-04-18,15:15:00,,,,,,,12.57,1401.0,12.615,13.3875,12.0275,13.04,12.615,0.42,3.37
