,high,low,open,close,year,month,day,hour,day_name,max,min,difference,candle_body,high_shadow,low_shadow,low-open,high-open,trend,7_EMA,15_EMA,50_EMA,200_EMA
2023-08-16,29103.5546875,28704.3828125,29089.357421875,28704.3828125,2023,8,16,20,Wednesday,29103.5546875,28704.3828125,399.171875,384.974609375,14.197265625,0.0,-384.974609375,14.197265625,DOWN,29043.205473302245,29161.846288296147,29288.719147247084,29404.396975291915
2023-08-17,28745.947265625,28376.49609375,28699.802734375,28627.814453125,2023,8,17,0,Thursday,28745.947265625,28376.49609375,369.451171875,71.98828125,46.14453125,-251.318359375,-323.306640625,46.14453125,DOWN,28939.357718257932,29095.09230889975,29262.80131610504,29396.669786016624
2023-08-17,28665.060546875,28565.705078125,28626.193359375,28584.087890625,2023,8,17,4,Thursday,28665.060546875,28565.705078125,99.35546875,42.10546875,38.8671875,-18.3828125,-60.48828125,38.8671875,DOWN,28850.5402613497,29031.21675661541,29236.18510334112,29388.584394022677
2023-08-17,28595.330078125,28462.349609375,28582.779296875,28506.017578125,2023,8,17,8,Thursday,28595.330078125,28462.349609375,132.98046875,76.76171875,12.55078125,-43.66796875,-120.4296875,12.55078125,DOWN,28764.409590543524,28965.56685930411,29207.55108274441,29379.802634660515
2023-08-17,28525.109375,27905.978515625,28506.130859375,27905.978515625,2023,8,17,12,Thursday,28525.109375,27905.978515625,619.130859375,600.15234375,18.978515625,0.0,-600.15234375,18.978515625,DOWN,28549.801821813893,28833.11831634422,29156.509021288748,29365.137718053196
2023-08-17,28046.369140625,27750.017578125,27899.962890625,27873.384765625,2023,8,17,16,Thursday,28046.369140625,27750.017578125,296.3515625,26.578125,146.40625,-123.3671875,-149.9453125,146.40625,DOWN,28380.69755776667,28713.151622504316,29106.190423027427,29350.294405093715
2023-08-17,27881.55078125,25409.111328125,27860.193359375,26635.4765625,2023,8,17,20,Thursday,27881.55078125,25409.111328125,2472.439453125,1224.716796875,21.357421875,-1226.365234375,-2451.08203125,21.357421875,DOWN,27944.392308950002,28453.442240003777,29009.299683398902,29323.281292232088
2023-08-18,26808.1953125,26325.796875,26636.078125,26399.712890625,2023,8,18,0,Friday,26808.1953125,26325.796875,482.3984375,236.365234375,172.1171875,-73.916015625,-310.28125,172.1171875,DOWN,27558.22245436875,28196.726071331428,28906.962946427375,29294.19105938028
2023-08-18,26598.65234375,26192.083984375,26399.095703125,26418.23046875,2023,8,18,4,Friday,26598.65234375,26192.083984375,406.568359375,-19.134765625,180.421875,-207.01171875,-207.01171875,199.556640625,UP,27273.224457964065,27974.41412100875,28809.365594361596,29265.574536090426
2023-08-18,26587.150390625,26385.642578125,26413.83984375,26481.732421875,2023,8,18,8,Friday,26587.150390625,26385.642578125,201.5078125,-67.892578125,105.41796875,-28.197265625,-28.197265625,173.310546875,UP,27075.351448941798,27787.828908617033,28718.085862107222,29237.874614555945
2023-08-18,26484.814453125,25940.4375,26479.048828125,25958.943359375,2023,8,18,12,Friday,26484.814453125,25940.4375,544.376953125,520.10546875,5.765625,-18.505859375,-538.611328125,5.765625,DOWN,26796.249426550097,27559.21821496178,28609.884195333412,29205.248432912354
2023-08-18,26276.234375,25668.921875,25965.66015625,26018.4609375,2023,8,18,16,Friday,26276.234375,25668.921875,607.3125,-52.80078125,257.7734375,-296.73828125,-296.73828125,310.57421875,UP,26601.802304287572,27366.623555279057,28508.25975384975,29173.539104599797
