date,open,high,low,close,adj close,volume,year,month,day,day_name,minute,hour,max,min,difference,candle_body,high_shadow,low_shadow,low-open,high-open,trend
2024-04-15,65739.6484375,66878.6484375,62332.0703125,63426.2109375,63426.2109375,43595917654,2024,4,15,Monday,0,0,66878.6484375,62332.0703125,4546.578125,2313.4375,1139.0,-1094.140625,-3407.578125,1139.0,UP
2024-04-16,63419.296875,64355.66796875,61716.40234375,63811.86328125,63811.86328125,42847528078,2024,4,16,Tuesday,0,0,64355.66796875,61716.40234375,2639.265625,-392.56640625,543.8046875,-1702.89453125,-1702.89453125,936.37109375,DOWN
2024-04-17,63831.84765625,64486.36328125,59768.5859375,61276.69140625,61276.69140625,41915247049,2024,4,17,Wednesday,0,0,64486.36328125,59768.5859375,4717.77734375,2555.15625,654.515625,-1508.10546875,-4063.26171875,654.515625,UP
2024-04-18,61275.31640625,64125.6875,60833.48046875,63512.75390625,63512.75390625,36006307335,2024,4,18,Thursday,0,0,64125.6875,60833.48046875,3292.20703125,-2237.4375,612.93359375,-441.8359375,-441.8359375,2850.37109375,DOWN
2024-04-19,63510.75,65481.59765625,59651.390625,63843.5703125,63843.5703125,49920425401,2024,4,19,Friday,0,0,65481.59765625,59651.390625,5830.20703125,-332.8203125,1638.02734375,-3859.359375,-3859.359375,1970.84765625,DOWN
2024-04-20,63851.1015625,65442.45703125,63172.40234375,64994.44140625,64994.44140625,23097485495,2024,4,20,Saturday,0,0,65442.45703125,63172.40234375,2270.0546875,-1143.33984375,448.015625,-678.69921875,-678.69921875,1591.35546875,DOWN
2024-04-21,64992.81640625,65723.2421875,64277.72265625,64926.64453125,64926.64453125,20506644853,2024,4,21,Sunday,0,0,65723.2421875,64277.72265625,1445.51953125,66.171875,730.42578125,-648.921875,-715.09375,730.42578125,UP
2024-04-22,64935.6328125,67233.9609375,64548.1796875,66837.6796875,66837.6796875,28282686673,2024,4,22,Monday,0,0,67233.9609375,64548.1796875,2685.78125,-1902.046875,396.28125,-387.453125,-387.453125,2298.328125,DOWN
2024-04-23,66839.890625,67199.2421875,65864.8671875,66407.2734375,66407.2734375,24310975583,2024,4,23,Tuesday,0,0,67199.2421875,65864.8671875,1334.375,432.6171875,359.3515625,-542.40625,-975.0234375,359.3515625,UP
2024-04-24,66408.71875,67075.3671875,63589.87109375,64276.8984375,64276.8984375,30276655120,2024,4,24,Wednesday,0,0,67075.3671875,63589.87109375,3485.49609375,2131.8203125,666.6484375,-687.02734375,-2818.84765625,666.6484375,UP
2024-04-25,64275.01953125,65275.20703125,62783.6328125,64481.70703125,64481.70703125,32155786816,2024,4,25,Thursday,0,0,65275.20703125,62783.6328125,2491.57421875,-206.6875,793.5,-1491.38671875,-1491.38671875,1000.1875,DOWN
2024-04-26,64485.37109375,64789.65625,63322.3984375,63755.3203125,63755.3203125,24139372950,2024,4,26,Friday,0,0,64789.65625,63322.3984375,1467.2578125,730.05078125,304.28515625,-432.921875,-1162.97265625,304.28515625,UP
2024-04-27,63750.98828125,63898.36328125,62424.71875,63419.140625,63419.140625,19530783039,2024,4,27,Saturday,0,0,63898.36328125,62424.71875,1473.64453125,331.84765625,147.375,-994.421875,-1326.26953125,147.375,UP
2024-04-28,63423.515625,64321.484375,62793.59765625,63113.23046875,63113.23046875,17334827993,2024,4,28,Sunday,0,0,64321.484375,62793.59765625,1527.88671875,310.28515625,897.96875,-319.6328125,-629.91796875,897.96875,UP
2024-04-29,63106.36328125,64174.87890625,61795.45703125,63841.12109375,63841.12109375,26635912073,2024,4,29,Monday,0,0,64174.87890625,61795.45703125,2379.421875,-734.7578125,333.7578125,-1310.90625,-1310.90625,1068.515625,DOWN
2024-04-30,63839.41796875,64703.33203125,59120.06640625,60636.85546875,60636.85546875,37840840057,2024,4,30,Tuesday,0,0,64703.33203125,59120.06640625,5583.265625,3202.5625,863.9140625,-1516.7890625,-4719.3515625,863.9140625,UP
2024-05-01,60609.49609375,60780.5,56555.29296875,58254.01171875,58254.01171875,48439780271,2024,5,1,Wednesday,0,0,60780.5,56555.29296875,4225.20703125,2355.484375,171.00390625,-1698.71875,-4054.203125,171.00390625,UP
