datetime,open,high,low,close,adj close,volume,year,month,hour,day,day_name,minute,max,min,difference,candle_body,high_shadow,low_shadow,trend
2024-08-12 09:30:00,24274.44921875,24302.05078125,24269.650390625,24274.19921875,24274.19921875,0,2024,8,9,12,Monday,30,24302.05078125,24269.650390625,32.400390625,0.25,27.6015625,4.548828125,UP
2024-08-12 09:45:00,24274.94921875,24278.650390625,24212.30078125,24223.400390625,24223.400390625,0,2024,8,9,12,Monday,45,24278.650390625,24212.30078125,66.349609375,51.548828125,3.701171875,11.099609375,UP
2024-08-12 10:00:00,24223.05078125,24266.650390625,24219.25,24252.150390625,24252.150390625,0,2024,8,10,12,Monday,0,24266.650390625,24219.25,47.400390625,-29.099609375,43.599609375,32.900390625,DOWN
2024-08-12 10:15:00,24252.80078125,24304.599609375,24252.150390625,24290.849609375,24290.849609375,0,2024,8,10,12,Monday,15,24304.599609375,24252.150390625,52.44921875,-38.048828125,51.798828125,38.69921875,DOWN
2024-08-12 10:30:00,24291.05078125,24353.55078125,24290.19921875,24351.55078125,24351.55078125,0,2024,8,10,12,Monday,30,24353.55078125,24290.19921875,63.3515625,-60.5,62.5,61.3515625,DOWN
2024-08-12 10:45:00,24351.55078125,24405.849609375,24338.849609375,24400.30078125,24400.30078125,0,2024,8,10,12,Monday,45,24405.849609375,24338.849609375,67.0,-48.75,54.298828125,61.451171875,DOWN
2024-08-12 11:00:00,24400.75,24435.05078125,24381.150390625,24434.80078125,24434.80078125,0,2024,8,11,12,Monday,0,24435.05078125,24381.150390625,53.900390625,-34.05078125,34.30078125,53.650390625,DOWN
2024-08-12 11:15:00,24434.650390625,24472.69921875,24423.30078125,24450.44921875,24450.44921875,0,2024,8,11,12,Monday,15,24472.69921875,24423.30078125,49.3984375,-15.798828125,38.048828125,27.1484375,DOWN
2024-08-12 11:30:00,24452.0,24466.44921875,24409.19921875,24415.900390625,24415.900390625,0,2024,8,11,12,Monday,30,24466.44921875,24409.19921875,57.25,36.099609375,14.44921875,6.701171875,UP
2024-08-12 11:45:00,24416.099609375,24432.400390625,24404.099609375,24418.25,24418.25,0,2024,8,11,12,Monday,45,24432.400390625,24404.099609375,28.30078125,-2.150390625,16.30078125,14.150390625,DOWN
2024-08-12 12:00:00,24418.69921875,24426.30078125,24387.25,24388.099609375,24388.099609375,0,2024,8,12,12,Monday,0,24426.30078125,24387.25,39.05078125,30.599609375,7.6015625,0.849609375,UP
2024-08-12 12:15:00,24388.75,24409.849609375,24382.400390625,24391.5,24391.5,0,2024,8,12,12,Monday,15,24409.849609375,24382.400390625,27.44921875,-2.75,21.099609375,9.099609375,DOWN
2024-08-12 12:30:00,24392.05078125,24429.099609375,24380.55078125,24427.099609375,24427.099609375,0,2024,8,12,12,Monday,30,24429.099609375,24380.55078125,48.548828125,-35.048828125,37.048828125,46.548828125,DOWN
2024-08-12 12:45:00,24427.099609375,24436.44921875,24400.099609375,24402.80078125,24402.80078125,0,2024,8,12,12,Monday,45,24436.44921875,24400.099609375,36.349609375,24.298828125,9.349609375,2.701171875,UP
2024-08-12 13:00:00,24406.150390625,24439.099609375,24400.19921875,24404.650390625,24404.650390625,0,2024,8,13,12,Monday,0,24439.099609375,24400.19921875,38.900390625,1.5,32.94921875,4.451171875,UP
2024-08-12 13:15:00,24404.400390625,24417.150390625,24392.75,24415.30078125,24415.30078125,0,2024,8,13,12,Monday,15,24417.150390625,24392.75,24.400390625,-10.900390625,12.75,22.55078125,DOWN
2024-08-12 13:30:00,24415.55078125,24422.55078125,24409.5,24419.650390625,24419.650390625,0,2024,8,13,12,Monday,30,24422.55078125,24409.5,13.05078125,-4.099609375,7.0,10.150390625,DOWN
2024-08-12 13:45:00,24420.099609375,24432.650390625,24415.099609375,24423.75,24423.75,0,2024,8,13,12,Monday,45,24432.650390625,24415.099609375,17.55078125,-3.650390625,12.55078125,8.650390625,DOWN
2024-08-12 14:00:00,24423.349609375,24444.349609375,24421.0,24435.30078125,24435.30078125,0,2024,8,14,12,Monday,0,24444.349609375,24421.0,23.349609375,-11.951171875,21.0,14.30078125,DOWN
2024-08-12 14:15:00,24434.69921875,24440.55078125,24395.849609375,24407.900390625,24407.900390625,0,2024,8,14,12,Monday,15,24440.55078125,24395.849609375,44.701171875,26.798828125,5.8515625,12.05078125,UP
2024-08-12 14:30:00,24406.400390625,24417.099609375,24393.349609375,24412.75,24412.75,0,2024,8,14,12,Monday,30,24417.099609375,24393.349609375,23.75,-6.349609375,10.69921875,19.400390625,DOWN
2024-08-12 14:45:00,24414.650390625,24429.349609375,24349.0,24349.0,24349.0,0,2024,8,14,12,Monday,45,24429.349609375,24349.0,80.349609375,65.650390625,14.69921875,0.0,UP
2024-08-12 15:00:00,24350.80078125,24356.69921875,24302.400390625,24345.69921875,24345.69921875,0,2024,8,15,12,Monday,0,24356.69921875,24302.400390625,54.298828125,5.1015625,5.8984375,43.298828125,UP
2024-08-12 15:15:00,24347.94921875,24365.349609375,24340.900390625,24348.80078125,24348.80078125,0,2024,8,15,12,Monday,15,24365.349609375,24340.900390625,24.44921875,-0.8515625,17.400390625,7.900390625,DOWN
2024-08-13 09:15:00,24351.05078125,24352.30078125,24309.44921875,24324.150390625,24324.150390625,0,2024,8,9,13,Tuesday,15,24352.30078125,24309.44921875,42.8515625,26.900390625,1.25,14.701171875,UP
2024-08-13 09:30:00,24322.150390625,24354.099609375,24300.0,24339.849609375,24339.849609375,0,2024,8,9,13,Tuesday,30,24354.099609375,24300.0,54.099609375,-17.69921875,31.94921875,39.849609375,DOWN
2024-08-13 09:45:00,24340.150390625,24358.0,24306.0,24315.75,24315.75,0,2024,8,9,13,Tuesday,45,24358.0,24306.0,52.0,24.400390625,17.849609375,9.75,UP
2024-08-13 10:00:00,24314.349609375,24341.94921875,24309.94921875,24330.099609375,24330.099609375,0,2024,8,10,13,Tuesday,0,24341.94921875,24309.94921875,32.0,-15.75,27.599609375,20.150390625,DOWN
2024-08-13 10:15:00,24329.69921875,24334.25,24292.05078125,24295.650390625,24295.650390625,0,2024,8,10,13,Tuesday,15,24334.25,24292.05078125,42.19921875,34.048828125,4.55078125,3.599609375,UP
2024-08-13 10:30:00,24295.849609375,24311.94921875,24277.75,24296.849609375,24296.849609375,0,2024,8,10,13,Tuesday,30,24311.94921875,24277.75,34.19921875,-1.0,16.099609375,19.099609375,DOWN
2024-08-13 10:45:00,24296.349609375,24317.94921875,24294.599609375,24309.94921875,24309.94921875,0,2024,8,10,13,Tuesday,45,24317.94921875,24294.599609375,23.349609375,-13.599609375,21.599609375,15.349609375,DOWN
2024-08-13 11:00:00,24308.400390625,24315.5,24290.94921875,24313.349609375,24313.349609375,0,2024,8,11,13,Tuesday,0,24315.5,24290.94921875,24.55078125,-4.94921875,7.099609375,22.400390625,DOWN
2024-08-13 11:15:00,24312.349609375,24328.150390625,24303.25,24326.900390625,24326.900390625,0,2024,8,11,13,Tuesday,15,24328.150390625,24303.25,24.900390625,-14.55078125,15.80078125,23.650390625,DOWN
2024-08-13 11:30:00,24326.849609375,24329.30078125,24306.19921875,24311.80078125,24311.80078125,0,2024,8,11,13,Tuesday,30,24329.30078125,24306.19921875,23.1015625,15.048828125,2.451171875,5.6015625,UP
2024-08-13 11:45:00,24311.5,24330.150390625,24304.80078125,24323.69921875,24323.69921875,0,2024,8,11,13,Tuesday,45,24330.150390625,24304.80078125,25.349609375,-12.19921875,18.650390625,18.8984375,DOWN
2024-08-13 12:00:00,24322.80078125,24327.650390625,24268.80078125,24296.0,24296.0,0,2024,8,12,13,Tuesday,0,24327.650390625,24268.80078125,58.849609375,26.80078125,4.849609375,27.19921875,UP
2024-08-13 12:15:00,24296.650390625,24297.599609375,24275.5,24286.150390625,24286.150390625,0,2024,8,12,13,Tuesday,15,24297.599609375,24275.5,22.099609375,10.5,0.94921875,10.650390625,UP
2024-08-13 12:30:00,24285.55078125,24287.94921875,24252.099609375,24255.44921875,24255.44921875,0,2024,8,12,13,Tuesday,30,24287.94921875,24252.099609375,35.849609375,30.1015625,2.3984375,3.349609375,UP
2024-08-13 12:45:00,24253.900390625,24256.849609375,24218.44921875,24234.30078125,24234.30078125,0,2024,8,12,13,Tuesday,45,24256.849609375,24218.44921875,38.400390625,19.599609375,2.94921875,15.8515625,UP
2024-08-13 13:00:00,24233.44921875,24243.30078125,24205.25,24238.099609375,24238.099609375,0,2024,8,13,13,Tuesday,0,24243.30078125,24205.25,38.05078125,-4.650390625,9.8515625,32.849609375,DOWN
2024-08-13 13:15:00,24237.349609375,24251.150390625,24233.94921875,24246.30078125,24246.30078125,0,2024,8,13,13,Tuesday,15,24251.150390625,24233.94921875,17.201171875,-8.951171875,13.80078125,12.3515625,DOWN
2024-08-13 13:30:00,24246.05078125,24257.30078125,24196.099609375,24198.900390625,24198.900390625,0,2024,8,13,13,Tuesday,30,24257.30078125,24196.099609375,61.201171875,47.150390625,11.25,2.80078125,UP
